Symbol ,Company Name,Industry,Market Cap
A,"Agilent Technologies, Inc.",Diagnostics & Research,40.25B
AA,Alcoa Corporation,Aluminum,8.73B
AACG,ATA Creativity Global,Education & Training Services,16.05M
AACT,Ares Acquisition Corporation II,Shell Companies,675.63M
AADI,"Aadi Bioscience, Inc.",Biotechnology,47.51M
AAGR,African Agriculture Holdings Inc.,Farm Products,8.68M
AAL,American Airlines Group Inc.,Airlines,7.23B
AAM,AA Mission Acquisition Corp.,Shell Companies,439.30M
AAME,Atlantic American Corporation,Insurance - Life,29.17M
AAN,"The Aaron's Company, Inc.",Rental & Leasing Services,307.74M
AAOI,"Applied Optoelectronics, Inc.",Communication Equipment,565.59M
AAON,"AAON, Inc.",Building Products & Equipment,8.43B
AAP,"Advance Auto Parts, Inc.",Specialty Retail,2.43B
AAPL,Apple Inc.,Consumer Electronics,"3,469.58B"
AAT,"American Assets Trust, Inc.",REIT - Diversified,1.64B
AB,AllianceBernstein Holding L.P.,Asset Management,4.01B
ABAT,American Battery Technology Company,Other Industrial Metals & Mining,60.94M
ABBV,AbbVie Inc.,Drug Manufacturers - General,341.73B
ABCB,Ameris Bancorp,Banks - Regional,4.41B
ABCL,AbCellera Biologics Inc.,Biotechnology,763.18M
ABEO,Abeona Therapeutics Inc.,Biotechnology,260.75M
ABEV,Ambev S.A.,Beverages - Brewers,36.54B
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,4.49B
ABL,"Abacus Life, Inc.",Insurance - Life,762.94M
ABLV,Able View Global Inc.,Advertising Agencies,39.14M
ABM,ABM Industries Incorporated,Specialty Business Services,3.27B
ABNB,"Airbnb, Inc.",Travel Services,82.96B
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,150.20M
ABR,"Arbor Realty Trust, Inc.",REIT - Mortgage,2.83B
ABSI,Absci Corporation,Biotechnology,490.56M
ABT,Abbott Laboratories,Medical Devices,197.83B
ABTS,Abits Group Inc.,Capital Markets,18.49M
ABUS,Arbutus Biopharma Corporation,Biotechnology,758.90M
ABVC,"ABVC BioPharma, Inc.",Biotechnology,8.34M
ABVE,Above Food Ingredients Inc.,Packaged Foods,16.41M
ABVX,ABIVAX Société Anonyme,Biotechnology,716.15M
AC,"Associated Capital Group, Inc.",Asset Management,735.11M
ACA,"Arcosa, Inc.",Engineering & Construction,4.54B
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,94.50M
ACAC,Acri Capital Acquisition Corporation,Shell Companies,53.54M
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,2.74B
ACB,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,312.58M
ACCD,"Accolade, Inc.",Health Information Services,317.63M
ACCO,ACCO Brands Corporation,Business Equipment & Supplies,504.85M
ACDC,ProFrac Holding Corp.,Oil & Gas Equipment & Services,1.03B
ACEL,"Accel Entertainment, Inc.",Gambling,985.83M
ACET,"Adicet Bio, Inc.",Biotechnology,126.07M
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,42.41B
ACHC,"Acadia Healthcare Company, Inc.",Medical Care Facilities,7.10B
ACHL,Achilles Therapeutics plc,Biotechnology,42.73M
ACHR,Archer Aviation Inc.,Aerospace & Defense,1.09B
ACHV,"Achieve Life Sciences, Inc.",Biotechnology,157.97M
ACI,"Albertsons Companies, Inc.",Grocery Stores,10.81B
ACIC,American Coastal Insurance Corporation,Insurance - Property & Casualty,546.93M
ACIU,AC Immune SA,Biotechnology,365.09M
ACIW,"ACI Worldwide, Inc.",Software - Infrastructure,5.27B
ACLS,"Axcelis Technologies, Inc.",Semiconductor Equipment & Materials,3.30B
ACLX,"Arcellx, Inc.",Biotechnology,4.66B
ACM,AECOM,Engineering & Construction,13.57B
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,1.06B
ACN,Accenture plc,Information Technology Services,210.60B
ACNB,ACNB Corporation,Banks - Regional,371.48M
ACNT,Ascent Industries Co.,Steel,97.70M
ACON,"Aclarion, Inc.",Health Information Services,1.60M
ACR,ACRES Commercial Realty Corp.,REIT - Mortgage,115.25M
ACRE,Ares Commercial Real Estate Corporation,REIT - Mortgage,401.18M
ACRS,"Aclaris Therapeutics, Inc.",Diagnostics & Research,82.05M
ACRV,"Acrivon Therapeutics, Inc.",Biotechnology,231.36M
ACST,Acasti Pharma Inc.,Biotechnology,27.17M
ACT,"Enact Holdings, Inc.",Insurance - Specialty,5.65B
ACTG,Acacia Research Corporation,Business Equipment & Supplies,459.72M
ACTU,"Actuate Therapeutics, Inc.",Biotechnology,139.71M
ACU,Acme United Corporation,Household & Personal Products,155.56M
ACVA,ACV Auctions Inc.,Auto & Truck Dealerships,3.46B
ACXP,"Acurx Pharmaceuticals, Inc.",Biotechnology,32.65M
